FORKS,TIME
1,2118.92
2,1070.2
3,848.232
4,547.318
5,624.909
6,551.817
7,574.865
8,508.886
9,621.135
10,542.111
11,566.185
12,579.177
13,575.17
14,540.176
15,542.313
16,547.306
17,593.158
18,554.086
19,562.759
20,551.012
21,562.855
22,548.485
23,556.214
24,559.45
25,556.114
26,561.881
27,630.471
28,632.492
29,643.517
30,634.511
31,650.895
32,636.922
33,631.409
34,644.299
35,637.914
36,635.26
37,636.848
38,638.663
39,631.986
40,634.565
41,638.009
42,634.946
43,635.698
44,645.079
45,631.807
46,641.168
47,639.352
48,635.672
49,637.528
50,636.862
51,642.295
52,635.877
53,641.287
54,637.812
55,643.275
56,672.983
57,687.474
58,658.152
59,704.399
60,657.37
61,639.447
62,644.909
63,643.716
64,636.765
65,646.556
66,636.077
67,642.789
68,650.793
69,643.748
70,653.73
71,652.147
72,662.817
73,649.596
74,644.987
75,643.606
76,640.858
77,643.861
78,637.583
79,642.272
80,641.919
