FORKS,TIME
1,4.59638
2,2.66509
3,2.09901
4,2.77385
5,2.83384
6,2.50545
7,2.41703
8,2.64119
9,2.52195
10,2.60942
11,3.20401
12,3.45181
13,3.0674
14,3.22923
15,3.28202
16,3.92675
17,3.89504
18,3.71334
19,3.87183
20,4.3551
21,4.9476
22,4.3462
23,4.49431
24,5.50557
25,5.0912
26,4.82888
27,5.69839
28,5.51188
29,5.28583
30,6.10367
31,5.54284
32,5.44438
33,6.28082
34,6.12153
35,5.79437
36,7.07228
37,6.24128
38,6.79979
39,6.62785
40,6.24759
41,8.13249
42,6.90367
43,8.32197
44,7.19388
45,8.03832
46,7.7561
47,8.19511
48,8.44609
49,8.76122
50,8.99233
51,9.30097
52,8.98783
53,9.36237
54,8.68745
55,8.99699
56,8.55464
57,9.05909
58,9.26457
59,9.32414
60,9.38842
61,9.49007
62,9.47041
63,9.09639
64,9.78715
65,9.70713
66,9.67482
67,10.3473
68,10.127
69,10.4665
70,10.8162
71,10.5014
72,10.8689
73,10.6253
74,10.9762
75,11.4817
76,11.3476
77,11.7078
78,12.1531
79,11.9881
80,11.5422
