FORKS,TIME
1,0.651172
2,0.622321
3,0.904734
4,1.09023
5,1.39513
6,1.42067
7,1.36537
8,1.58408
9,1.80545
10,1.83508
11,2.18456
12,2.17338
13,2.4871
14,2.91451
15,2.79236
16,2.86084
17,3.50341
18,3.72947
19,4.36387
20,3.91008
21,3.90515
22,3.92531
23,4.81412
24,4.2336
25,4.59532
26,5.37345
27,5.50413
28,5.95631
29,6.57273
30,5.86126
31,6.06976
32,7.77675
33,6.15275
34,8.48146
35,6.90748
36,8.45419
37,7.38577
38,7.05433
39,7.93339
40,7.95444
41,8.84417
42,8.04814
43,10.278
44,8.63071
45,8.41176
46,8.98841
47,9.28909
48,9.50478
49,8.79871
50,9.85703
51,9.52685
52,10.644
53,10.0202
54,12.1475
55,11.2923
56,11.765
57,11.123
58,12.594
59,11.8394
60,14.5156
61,14.7054
62,13.3769
63,15.0937
64,15.8196
65,15.2082
66,15.1782
67,17.3814
68,16.5033
69,15.7324
70,15.9622
71,15.6781
72,14.313
73,14.5527
74,16.5771
75,17.4512
76,16.0293
77,14.6442
78,14.3556
79,14.4385
80,14.2942
