FORKS,TIME
1,86.416
2,51.4434
3,31.1688
4,23.5312
5,30.4203
6,25.9481
7,23.8913
8,21.6079
9,23.1185
10,26.1586
11,25.6584
12,24.4468
13,26.2314
14,25.5512
15,22.4826
16,24.012
17,23.0562
18,22.6077
19,22.5257
20,22.5208
21,23.0762
22,21.7018
23,23.2848
24,22.75
25,22.9542
26,22.8981
27,23.4828
28,23.2303
29,23.3684
30,25.342
31,24.1794
32,23.3834
33,24.078
34,23.4238
35,25.0794
36,25.4546
37,26.4099
38,27.4905
39,30.6711
40,27.2727
41,25.1626
42,25.8668
43,25.3122
44,29.7347
45,27.6903
46,27.2404
47,29.4454
48,32.3171
49,30.9771
50,29.2978
51,32.2612
52,28.828
53,30.2631
54,29
55,34.0237
56,31.4317
57,28.1293
58,26.8049
59,29.9482
60,29.8763
61,29.8146
62,28.9964
63,28.3418
64,27.5662
65,28.0519
66,28.94
67,26.6536
68,26.7992
69,26.3071
70,25.467
71,26.2276
72,27.5446
73,27.1167
74,27.7718
75,26.8772
76,27.0747
77,27.9333
78,27.3752
79,27.4858
80,27.392
